item_title,organization_or_seller,price_or_budget,quantity,category_or_department,date_posted,date_closing,detail_page_link,location,tender_id_or_reference,price_or_budget_raw,quantity_raw,date_posted_raw,date_closing_raw,source_site,scraped_at_utc
"Efavirenz 600 mg Tab,Zidovudin...",Ministry of Defence Department of Military Affairs,,119730,Product,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9065865,New Delhi (Central Govt),GEM/2026/B/7309107,,"Efavirenz 600 mg Tab,Zidovudin... Quantity: 119730 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 04-04-2026 8:29 AM End Date: 25-04-2026 9:00 AM",04-04-2026 8:29 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.263883+00:00
High altitude high payload kam...,Ministry of Defence Department of Defence Production,,12,Product,2026-08-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9201592,New Delhi (Central Govt),GEM/2026/B/7425169,,High altitude high payload kam... Quantity: 12 Department Name And Address: Ministry of Defence Department of Defence Production Start Date: 08-04-2026 3:29 PM End Date: 25-04-2026 9:00 AM,08-04-2026 3:29 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.229847+00:00
Instrumentation Limited (PALAK...,PMO Department of Atomic Energy,,2,Product,2026-03-25,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9149018,India,GEM/2026/B/7379780,,Instrumentation Limited (PALAK... Quantity: 2 Department Name And Address: PMO Department of Atomic Energy Start Date: 25-03-2026 4:33 PM End Date: 25-04-2026 9:00 AM,25-03-2026 4:33 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:30.071434+00:00
Laparoscopic Surgery System (V...,Ministry of Labour and Employment Employees State Insuarnce Corporation,19000000,2,Product,2025-09-26,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/8396040,New Delhi (Central Govt),GEM/2025/B/6722908,Bid Value: 19000000,Laparoscopic Surgery System (V... Quantity: 2 Department Name And Address: Ministry of Labour and Employment Employees State Insuarnce Corporation Start Date: 26-09-2025 12:59 PM End Date: 25-04-2026 9:00 AM,26-09-2025 12:59 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:37.942205+00:00
MICRA TRANSCATHETER PACING SYS...,Ministry of Defence Department of Military Affairs,,4,Product,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9057613,New Delhi (Central Govt),GEM/2026/B/7302087,,MICRA TRANSCATHETER PACING SYS... Quantity: 4 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 04-04-2026 9:12 AM End Date: 25-04-2026 9:00 AM,04-04-2026 9:12 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.355389+00:00
Manpower Outsourcing Services ...,Ministry of Education Department of School Education and Literacy,930000,3,Service,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9190194,New Delhi (Central Govt),GEM/2026/B/7415051,Bid Value: 930000,Manpower Outsourcing Services ... Quantity: 3 Department Name And Address: Ministry of Education Department of School Education and Literacy Start Date: 04-04-2026 3:37 PM End Date: 25-04-2026 9:00 AM,04-04-2026 3:37 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.471132+00:00
Manpower Outsourcing Services ...,Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,,4,Service,2026-04-15,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9221660,New Delhi (Central Govt),GEM/2026/B/7443099,,Manpower Outsourcing Services ... Quantity: 4 Department Name And Address: Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution Start Date: 15-04-2026 3:40 PM End Date: 25-04-2026 9:00 AM,15-04-2026 3:40 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:38.015514+00:00
Monthly Ambulance Service (All...,PMO Department of Atomic Energy,6130800,1,Service,2026-02-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9131050,India,GEM/2026/B/7364214,Bid Value: 6130800,Monthly Ambulance Service (All... Quantity: 1 Department Name And Address: PMO Department of Atomic Energy Start Date: 02-04-2026 12:35 PM End Date: 25-04-2026 9:00 AM,02-04-2026 12:35 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:29.938957+00:00
"Nirma washing powder,Gash bag ...",Ministry of Defence Department of Military Affairs,,606,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9214737,New Delhi (Central Govt),GEM/2026/B/7437087,,"Nirma washing powder,Gash bag ... Quantity: 606 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 14-04-2026 9:04 AM End Date: 25-04-2026 9:00 AM",14-04-2026 9:04 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:30.140714+00:00
Plug In Relay For Heavy Coil V...,Energy Department Uttar Pradesh,,25,Product,2026-03-29,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9173598,Uttar Pradesh,GEM/2026/B/7400525,,Plug In Relay For Heavy Coil V... Quantity: 25 Department Name And Address: Energy Department Uttar Pradesh Start Date: 29-03-2026 12:48 AM End Date: 25-04-2026 9:00 AM,29-03-2026 12:48 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.253495+00:00
Potable Water Purification Sys...,Panchayat Raj Department Bihar,,1,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219423,Bihar,GEM/2026/B/7441149,,Potable Water Purification Sys... Quantity: 1 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 9:06 PM End Date: 25-04-2026 9:00 AM,14-04-2026 9:06 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:38.128557+00:00
Potable Water Purification Sys...,Panchayat Raj Department Bihar,,1,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219422,Bihar,GEM/2026/B/7441148,,Potable Water Purification Sys... Quantity: 1 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 9:06 PM End Date: 25-04-2026 9:00 AM,14-04-2026 9:06 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:38.173614+00:00
"Processor,SSD,GPU Card,Hard Di...",Ministry of Education Department of Higher Education,,9,Product,2026-03-18,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9137633,New Delhi (Central Govt),GEM/2026/B/7369964,,"Processor,SSD,GPU Card,Hard Di... Quantity: 9 Department Name And Address: Ministry of Education Department of Higher Education Start Date: 18-03-2026 12:51 PM End Date: 25-04-2026 9:00 AM",18-03-2026 12:51 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:30.002059+00:00
Propeller Type AC Ventilating ...,Ministry of Mines Materials,,1000,Product,2026-03-28,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9100254,New Delhi (Central Govt),GEM/2026/B/7338125,,Propeller Type AC Ventilating ... Quantity: 1000 Department Name And Address: Ministry of Mines Materials Start Date: 28-03-2026 10:16 AM End Date: 25-04-2026 9:00 AM,28-03-2026 10:16 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:29.971875+00:00
RAPID EXCHANGE CUTTING BALLOON...,Ministry of Defence Department of Military Affairs,,90,Product,2026-03-28,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9165080,New Delhi (Central Govt),GEM/2026/B/7393292,,RAPID EXCHANGE CUTTING BALLOON... Quantity: 90 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 28-03-2026 9:15 AM End Date: 25-04-2026 9:00 AM,28-03-2026 9:15 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.370849+00:00
Repair and Overhauling Service...,Ministry of Defence Department of Defence,779982,1,Service,2026-04-15,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9220156,New Delhi (Central Govt),GEM/2026/B/7441767,Bid Value: 779982,Repair and Overhauling Service... Quantity: 1 Department Name And Address: Ministry of Defence Department of Defence Start Date: 15-04-2026 11:28 AM End Date: 25-04-2026 9:00 AM,15-04-2026 11:28 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:30.104459+00:00
Repair and Overhauling Service...,Ministry of Defence Department of Military Affairs,,1,Service,2026-10-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9205428,New Delhi (Central Govt),GEM/2026/B/7428673,,Repair and Overhauling Service... Quantity: 1 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 10-04-2026 9:23 AM End Date: 25-04-2026 9:00 AM,10-04-2026 9:23 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:37.980105+00:00
"Speed Ball,Thigh Inner and Out...",Ministry of Defence Department of Military Affairs,,19,Product,2026-08-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9194564,New Delhi (Central Govt),GEM/2026/B/7418797,,"Speed Ball,Thigh Inner and Out... Quantity: 19 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 08-04-2026 12:18 PM End Date: 25-04-2026 9:00 AM",08-04-2026 12:18 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.303908+00:00
Stable Bleaching Powder for Ho...,Urban Development Department Uttar Pradesh,225000,5000,Product,2026-03-25,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9160177,Uttar Pradesh,GEM/2026/B/7389001,Bid Value: 225000,Stable Bleaching Powder for Ho... Quantity: 5000 Department Name And Address: Urban Development Department Uttar Pradesh Start Date: 25-03-2026 8:43 AM End Date: 25-04-2026 9:00 AM,25-03-2026 8:43 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.276622+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219453,Bihar,GEM/2026/B/7441178,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 10:13 PM End Date: 25-04-2026 9:00 AM,14-04-2026 10:13 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:38.209695+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219450,Bihar,GEM/2026/B/7441175,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 10:05 PM End Date: 25-04-2026 9:00 AM,14-04-2026 10:05 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:41.627753+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219448,Bihar,GEM/2026/B/7441174,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 9:54 PM End Date: 25-04-2026 9:00 AM,14-04-2026 9:54 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:41.652363+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219442,Bihar,GEM/2026/B/7441168,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 9:45 PM End Date: 25-04-2026 9:00 AM,14-04-2026 9:45 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:41.675928+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219431,Bihar,GEM/2026/B/7441157,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 9:29 PM End Date: 25-04-2026 9:00 AM,14-04-2026 9:29 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:41.699444+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219471,Bihar,GEM/2026/B/7441196,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 10:42 PM End Date: 25-04-2026 9:00 AM,14-04-2026 10:42 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:41.723352+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219465,Bihar,GEM/2026/B/7441190,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 10:32 PM End Date: 25-04-2026 9:00 AM,14-04-2026 10:32 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:41.746796+00:00
Surf Board - Outdoor Gym Equip...,Panchayat Raj Department Bihar,,6,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219461,Bihar,GEM/2026/B/7441186,,Surf Board - Outdoor Gym Equip... Quantity: 6 Department Name And Address: Panchayat Raj Department Bihar Start Date: 14-04-2026 10:23 PM End Date: 25-04-2026 9:00 AM,14-04-2026 10:23 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:41.792077+00:00
"Tab Perampanel 2 mg,Tab Cefixi...",Ministry of Defence Department of Military Affairs,,107655,Product,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9189059,New Delhi (Central Govt),GEM/2026/B/7414120,,"Tab Perampanel 2 mg,Tab Cefixi... Quantity: 107655 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 04-04-2026 9:07 AM End Date: 25-04-2026 9:00 AM",04-04-2026 9:07 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.325319+00:00
"Tab Rabiprazole 20 mg,Secnidaz...",Ministry of Defence Department of Military Affairs,,150539,Product,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9071180,New Delhi (Central Govt),GEM/2026/B/7313596,,"Tab Rabiprazole 20 mg,Secnidaz... Quantity: 150539 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 04-04-2026 10:10 AM End Date: 25-04-2026 9:00 AM",04-04-2026 10:10 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.412871+00:00
"Thermos 2 ltr,Umbrella big siz...",Ministry of Defence Department of Military Affairs,,4759,Product,2026-04-15,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9219506,New Delhi (Central Govt),GEM/2026/B/7441227,,"Thermos 2 ltr,Umbrella big siz... Quantity: 4759 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 15-04-2026 8:38 AM End Date: 25-04-2026 9:00 AM",15-04-2026 8:38 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:30.038689+00:00
Trailer Mounted Suction Machin...,Urban Development Department Uttar Pradesh,915000,1,Product,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9186355,Uttar Pradesh,GEM/2026/B/7411707,Bid Value: 915000,Trailer Mounted Suction Machin... Quantity: 1 Department Name And Address: Urban Development Department Uttar Pradesh Start Date: 04-04-2026 11:28 AM End Date: 25-04-2026 9:00 AM,04-04-2026 11:28 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.326829+00:00
